"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app.config.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx", "JavaScript JSX", 0, 28, 0, 0, 8, 36
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\PlayerStats.jsx", "JavaScript JSX", 0, -51, 0, 0, -3, -54
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\[userId]\index.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\[userId]\player-stats\index.jsx", "JavaScript JSX", 0, 7, 0, 0, 3, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\approve-results.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 7
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\submit-results.jsx", "JavaScript JSX", 0, 8, 0, 0, 1, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\_layout.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\help\_layout.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\help\index.jsx", "JavaScript JSX", 0, 65, 0, 0, 4, 69
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\index.jsx", "JavaScript JSX", 0, 10, 0, 0, 1, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\[userId]\index.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\[userId]\player-stats\_layout.jsx", "JavaScript JSX", 0, -8, 0, 0, -4, -12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\[userId]\player-stats\index.jsx", "JavaScript JSX", 0, -18, 0, 0, -1, -19
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\index.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\premium\index.jsx", "JavaScript JSX", 0, 29, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\results\_layout.jsx", "JavaScript JSX", 0, 9, 0, 0, 3, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\results\index.jsx", "JavaScript JSX", 0, 24, 0, 0, 3, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\results\results.jsx", "JavaScript JSX", 0, -64, 0, 0, -4, -68
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\_layout.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-accordion.jsx", "JavaScript JSX", 0, 66, 0, 2, 9, 77
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-overview.jsx", "JavaScript JSX", 0, 39, 0, 0, 6, 45
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\index.jsx", "JavaScript JSX", 0, 43, 0, 0, 6, 49
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\_layout.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\admin-or-player.jsx", "JavaScript JSX", 0, 62, 0, 0, 6, 68
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-divisions.jsx", "JavaScript JSX", 0, 622, 0, 22, 43, 687
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-join-team.jsx", "JavaScript JSX", 0, 60, 0, 0, 6, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\district-name.jsx", "JavaScript JSX", 0, 110, 0, 3, 10, 123
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\district-settings.jsx", "JavaScript JSX", 0, 150, 0, 3, 12, 165
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\division-rewards.jsx", "JavaScript JSX", 0, 277, 0, 11, 23, 311
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\league-confirm.jsx", "JavaScript JSX", 0, 91, 0, 0, 12, 103
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\profile-claim.jsx", "JavaScript JSX", 0, 171, 0, 1, 33, 205
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-confirm.jsx", "JavaScript JSX", 0, 143, 0, 0, 12, 155
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\unique-code.jsx", "JavaScript JSX", 0, 242, 0, 9, 21, 272
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\_layout.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\avatar.jsx", "JavaScript JSX", 0, 122, 0, 2, 17, 141
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\dob.jsx", "JavaScript JSX", 0, 137, 0, 3, 9, 149
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\name.jsx", "JavaScript JSX", 0, 86, 0, 0, 7, 93
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\nickname.jsx", "JavaScript JSX", 0, 67, 0, 0, 6, 73
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\_layout.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\explore\_layout.jsx", "JavaScript JSX", 0, 12, 0, 0, 4, 16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\explore\index.jsx", "JavaScript JSX", 0, 257, 0, 4, 19, 280
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-avatar.jsx", "JavaScript JSX", 0, -214, 0, -4, -30, -248
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-dob.jsx", "JavaScript JSX", 0, -48, 0, 0, -4, -52
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-name.jsx", "JavaScript JSX", 0, -73, 0, 0, -7, -80
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-nickname.jsx", "JavaScript JSX", 0, -57, 0, 0, -6, -63
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-team-code.jsx", "JavaScript JSX", 0, -168, 0, -1, -17, -186
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-team-confirm.jsx", "JavaScript JSX", 0, -129, 0, 0, -11, -140
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-team-name.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-team.jsx", "JavaScript JSX", 0, -60, 0, 0, -6, -66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\_layout.jsx", "JavaScript JSX", 0, 7, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\edit-profile.jsx", "JavaScript JSX", 0, 11, 0, 0, 4, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\index.jsx", "JavaScript JSX", 0, 129, 0, 0, 7, 136
