"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\.env", "Dotenv", 0, 0, 0, 1, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app.config.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx", "JavaScript JSX", 0, 0, 23, 0, 6, 5, 34
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\index.jsx", "JavaScript JSX", 0, 0, 825, 0, 9, 68, 902
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\_layout.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\create-competition-rules.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 3, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\index.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 8, 155
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\requirements.jsx", "JavaScript JSX", 0, 0, 233, 0, 2, 8, 243
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\index.jsx", "JavaScript JSX", 0, 0, 134, 0, 0, 5, 139
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\index.jsx", "JavaScript JSX", 0, 0, 150, 0, 1, 8, 159
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\modify-competition-rules.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 3, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\compare-stats.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\team-stats\index.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 3, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\approve-results.jsx", "JavaScript JSX", 0, 0, 87, 0, 0, 2, 89
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 2, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\submit-results.jsx", "JavaScript JSX", 0, 0, 659, 0, 6, 33, 698
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\index.jsx", "JavaScript JSX", 0, 0, 119, 0, 1, 10, 130
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\compare-stats.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\league\[teamId]\team-stats\index.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 3, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\[teamId]\team-profile.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 6, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\create-competition.jsx", "JavaScript JSX", 0, 0, 622, 0, 22, 43, 687
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-accordion.jsx", "JavaScript JSX", 0, 0, -122, 0, -2, -9, -133
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-overview.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 20
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\index.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, 0, -2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\admin-or-player.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-divisions.jsx", "JavaScript JSX", 0, 0, -34, 0, 8, 17, -9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-season.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 13, 168
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\district-name.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\division-rewards.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 3, 23
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\avatar.jsx", "JavaScript JSX", 0, 0, 27, 0, 1, 1, 29
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\dob.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\gender.jsx", "JavaScript JSX", 0, 0, 87, 0, 0, 9, 96
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\name.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 5, 20
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\nickname.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\_layout.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 2, 18
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\season\index.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 1, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\upgrade\index.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, -1, -3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\index.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 1, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 13, 0, 7, 5, 25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\role-select.jsx", "JavaScript JSX", 0, 0, 82, 0, 1, 6, 89
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Account.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 5, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PlayerManagement.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\SignInAndSecurity.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 1, 47
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\compare-stats.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\team-stats\index.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 3, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\+not-found.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, -2, 16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\_layout.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 5, 38
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\forgot-password.jsx", "JavaScript JSX", 0, 0, 46, 0, 1, 6, 53
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\login.jsx", "JavaScript JSX", 0, 0, 226, 0, 7, 29, 262
