"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx", "JavaScript JSX", 0, 0, 37, 2, 7, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\[fixtureId]\index.jsx", "JavaScript JSX", 0, 0, 55, 0, 11, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\index.jsx", "JavaScript JSX", 0, 0, 30, 2, 4, 36
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\index.jsx", "JavaScript JSX", 0, 0, 5, 0, 5, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\submit-results.jsx", "JavaScript JSX", 0, 0, 103, 0, 2, 105
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\index.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 17
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\index.jsx", "JavaScript JSX", 0, 0, 10, 0, 3, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-overview.jsx", "JavaScript JSX", 0, 0, 209, 0, 5, 214
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\index.jsx", "JavaScript JSX", 0, 0, 18, -1, 5, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\_layout.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-season.jsx", "JavaScript JSX", 0, 0, -6, 0, 0, -6
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\pending-request.jsx", "JavaScript JSX", 0, 0, 148, 0, 18, 166
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\profile-claim.jsx", "JavaScript JSX", 0, 0, 55, 0, 3, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-address.jsx", "JavaScript JSX", 0, 0, 30, 0, 1, 31
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-confirm.jsx", "JavaScript JSX", 0, 0, 3, 0, 4, 7
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-crest.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, -2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-division-request.jsx", "JavaScript JSX", 0, 0, 33, 2, 6, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-name.jsx", "JavaScript JSX", 0, 0, -6, 0, 1, -5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-photo.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\unique-code.jsx", "JavaScript JSX", 0, 0, 78, 2, 18, 98
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\_layout.jsx", "JavaScript JSX", 0, 0, 13, 0, 1, 14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\role-select.jsx", "JavaScript JSX", 0, 0, -71, -1, -6, -78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\team-name.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\role-select.jsx", "JavaScript JSX", 0, 0, 13, 0, -1, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Notifications.jsx", "JavaScript JSX", 0, 0, 64, 1, 5, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Privacy.jsx", "JavaScript JSX", 0, 0, -6, 0, 0, -6
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\index.jsx", "JavaScript JSX", 0, 0, -3, 0, 0, -3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\_layout.jsx", "JavaScript JSX", 0, 0, -14, 0, 0, -14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeList.jsx", "JavaScript JSX", 0, 0, -21, 0, 0, -21
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeTierScrollView.jsx", "JavaScript JSX", 0, 0, -14, -4, -5, -23
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BasicPaywall.jsx", "JavaScript JSX", 0, 0, 9, 0, -1, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BottomSheetModal.jsx", "JavaScript JSX", 0, 0, 30, 0, 3, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CTAButton.jsx", "JavaScript JSX", 0, 0, -5, 0, 1, -4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ColorPickerGrid.jsx", "JavaScript JSX", 0, 0, 4, 0, 2, 6
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompetitionInstanceCard.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CrestEditor.jsx", "JavaScript JSX", 0, 0, -9, -1, -2, -12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomDropdown.jsx", "JavaScript JSX", 0, 0, 166, 13, 14, 193
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomTextInput.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DivisionAccordion.jsx", "JavaScript JSX", 0, 0, 11, 0, 1, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DivisionsList.jsx", "JavaScript JSX", 0, 0, 20, 0, 1, 21
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\EditDivisionForm.jsx", "JavaScript JSX", 0, 0, 839, 14, 69, 922
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\EntityStats.jsx", "JavaScript JSX", 0, 0, -84, 0, 11, -73
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ExpandableView.jsx", "JavaScript JSX", 0, 0, 51, 0, 7, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixtureManagement.jsx", "JavaScript JSX", 0, 0, 395, 15, 42, 452
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturePage.jsx", "JavaScript JSX", 0, 0, 28, 0, 2, 30
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesAccordion.jsx", "JavaScript JSX", 0, 0, 40, 0, 1, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesList.jsx", "JavaScript JSX", 0, 0, 19, 0, 4, 23
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\GenerateFixturesForm.jsx", "JavaScript JSX", 0, 0, 668, 27, 75, 770
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Heading.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\KeyboardAwareScrollView.jsx", "JavaScript JSX", 0, 0, 32, 0, 3, 35
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\KnockoutBracket.jsx", "JavaScript JSX", 0, 0, 68, 0, 3, 71
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeaderboardCard.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTableWrapper.jsx", "JavaScript JSX", 0, 0, -25, 0, 0, -25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerCard.jsx", "JavaScript JSX", 0, 0, 1, 0, 1, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerProfile.jsx", "JavaScript JSX", 0, 0, -60, -2, -8, -70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Podium.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\RequestStatusCard.jsx", "JavaScript JSX", 0, 0, 70, 4, 16, 90
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ResultsList.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, -2
